Date,close_price,Returns,State,State_name,Portfolio
2023-11-14,187.2011,0.01428552077999834,1,Bull,16
2023-11-15,187.7704,0.0030411146088351604,0,Flat,16
2023-11-16,189.4682,0.009041893717007587,0,Flat,16
2023-11-17,189.4483,-0.00010503081783652668,0,Flat,16
2023-11-20,191.206,0.00927799299333909,0,Flat,16
2023-11-21,190.397,-0.004231038774933804,0,Flat,16
2023-11-22,191.0662,0.003514761261994792,0,Flat,16
2023-11-24,189.7279,-0.0070043785871075626,0,Flat,16
2023-11-27,189.5481,-0.0009476729569030118,0,Flat,16
2023-11-28,190.1573,0.003213959939455835,0,Flat,16
2023-11-29,189.1287,-0.005409205957383589,0,Flat,16
2023-11-30,189.7079,0.0030624648718040604,0,Flat,16
2023-12-01,190.9963,0.006791493659462855,0,Flat,16
2023-12-04,189.1886,-0.009464581251050319,0,Flat,16
2023-12-05,193.1735,0.021063108453680535,1,Bull,17
2023-12-06,192.0749,-0.00568711546873657,0,Flat,17
2023-12-07,194.0224,0.010139273793712711,1,Bull,18
2023-12-08,195.4606,0.007412546180234791,0,Flat,18
2023-12-11,192.9338,-0.012927413504307261,-1,Bear,17
2023-12-12,194.4619,0.007920333295669435,0,Flat,17
2023-12-13,197.7077,0.016691187322555034,1,Bull,18
2023-12-14,197.8575,0.0007576841974288318,0,Flat,18
2023-12-15,197.3182,-0.0027256990510847734,0,Flat,18
2023-12-18,195.6404,-0.008503016954340747,0,Flat,18
2023-12-19,196.689,0.005359833653989732,0,Flat,18
2023-12-20,194.5817,-0.010713868086166367,-1,Bear,17
2023-12-21,194.4319,-0.0007698565692456638,0,Flat,17
2023-12-22,193.3533,-0.005547443603647451,0,Flat,17
2023-12-26,192.804,-0.002840913498761033,0,Flat,17
2023-12-27,192.9038,0.0005176241156821249,0,Flat,17
2023-12-28,193.3333,0.002226498389352738,0,Flat,17
2023-12-29,192.2846,-0.005424311280053606,0,Flat,17
